time;rpm;radiator_cooling_power;exchanger_cooling_power;oil_heat_removed;engine_heat_generated;temp_radiator_in;temp_radiator_out;temp_exchanger_in;temp_exchanger_out;temp_oil_in;temp_oil_out;water_overtemp;oil_overtemp;overheating
264.280;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.320;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.360;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.400;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.440;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.480;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.520;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.560;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.600;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.640;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.680;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.720;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.760;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.800;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.840;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.880;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.920;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
264.960;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
265.000;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
265.040;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
265.080;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
265.120;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
265.160;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
265.200;0.000;2282.738;0.000;0.000;0.000;73.250;53.750;55.250;55.250;90.806;84.731;0;0;0
265.240;0.000;2370.536;0.000;0.000;0.000;73.250;53.000;51.250;51.250;92.731;82.606;0;0;0
265.280;0.000;2370.536;0.000;0.000;0.000;73.250;53.000;51.250;51.250;92.731;82.606;0;0;0
265.320;0.000;2370.536;0.000;0.000;0.000;73.250;53.000;51.250;51.250;92.731;82.606;0;0;0
265.360;191.000;2370.536;0.000;0.000;0.000;73.250;53.000;51.250;51.250;92.731;82.606;0;0;0
265.400;191.000;2370.536;0.000;0.000;0.000;73.250;53.000;51.250;51.250;92.731;82.606;0;0;0
265.440;191.000;2370.536;0.000;0.000;0.000;73.250;53.000;52.250;52.250;92.250;83.475;0;0;0
265.480;191.000;2370.536;0.000;0.000;0.000;73.250;53.000;52.250;52.250;92.250;83.475;0;0;0
265.520;191.000;2370.536;0.000;0.000;0.000;73.250;53.000;52.250;52.250;92.250;83.475;0;0;0
265.560;353.000;2370.536;0.000;0.000;0.000;73.250;53.000;52.250;52.250;92.250;83.475;0;0;0
265.600;353.000;2370.536;0.000;0.000;0.000;73.250;53.000;52.250;52.250;92.250;83.475;0;0;0
265.640;353.000;2370.536;0.000;0.000;0.000;73.250;53.000;52.250;52.250;92.250;82.800;0;0;0
265.680;353.000;2370.536;0.000;0.000;0.000;73.250;53.000;52.250;52.250;92.250;82.800;0;0;0
